Game_Hashkey,Year,Round,Team,Opponent,Ground,Team_Result,Disposals_diff,Kicks_diff,Marks_diff,Handballs_diff,HitOuts_diff,Tackles_diff,Rebounds_diff,Inside50_diff,Clearances_diff,Clangers_diff,Frees_diff,FreesAgainst_diff,ContestedPossessions_diff,UncontestedPossessions_diff,ContestedMarks_diff,MarksInside50_diff,OnePercenters_diff,Bounces_diff,GoalAssists_diff
a4c83e5c8a354acce75d2b5ab7fdf9efaf86301ac5c016c6144950c0a5387b4b,2020,R03,GC,AD,Carrara,1,70,51,31,19,-12,19,-19,28,13,15,-11,11,18,50,6,8,4,2,5
111dcabd7dfb8c3d72e0a213e00563e95e36a31ebe2cc18af1b1ec5c3923f53b,2020,R04,SW,WB,S.C.G.,0,-19,2,12,-21,25,14,-5,0,-4,6,-2,2,-24,-5,-8,0,1,0,1
033444149d448e8a353c96995d6af94fb9f681f28b280ae54d9ee41b5385d607,2020,R04,PA,WC,Carrara,1,29,26,19,3,-23,14,-5,12,-12,-11,5,-5,0,24,4,6,-18,-1,4
c992d3dae772f8dc9b1cc27a920567331fb4bd9144187caa706745b55da003e8,2020,R04,GC,FR,Carrara,1,20,17,0,3,24,-4,-18,19,15,7,-6,6,8,17,-4,1,9,2,5
6048e903fcebdb8c04a42a24ec65b4a753b7aa0541dd4f1316373be5863664f1,2020,R04,BL,AD,Gabba,1,54,37,9,17,7,16,-25,32,9,-17,3,-3,41,20,17,14,8,2,4
1ebe860b902547a084d298ed0c239330976db667cb75e201e281968c8015e4df,2020,R04,HW,NM,Docklands,1,-64,-28,-22,-36,-4,22,-14,13,-15,1,-9,9,-29,-44,-1,2,30,2,0
901094858c5b7058d350c46d7d1aff51908961e9236e3d7a44715149b13979bb,2020,R05,CA,SK,Docklands,0,-22,-14,-6,-8,2,-1,4,-7,-4,14,-1,1,-3,-17,-1,-8,2,-6,-2
c3fa66f694fd5ab2c13bb07090f034327da8debb6141a47ebd978db033a3e017,2020,R05,CW,ES,M.C.G.,0,45,-10,-8,55,28,-14,-6,6,-10,-15,9,-9,8,35,0,-2,-10,1,2
dcffc3b9dbc570c1c5843e2fbb00e93ec00dc288bb1769209a30ac6aae15fdc4,2020,R05,WC,SW,Carrara,1,7,45,25,-38,36,2,-13,17,14,-10,2,-2,24,-7,3,-1,-3,2,0
d9ca6cbb2ee2a72f4be04709d6a940efc216567258dd59486884561967516aa3,2020,R05,GE,GC,Kardinia Park,1,71,23,16,48,-2,-6,-17,22,5,5,-11,11,10,65,1,10,17,0,4
